"","zip","adult_n","obese_n","non_obese_n","obese_p","households","income","rural_n","urban_n","ru"
"73",53118,2872,128,2744,4.45682451253482,2863,79577,4144,3058,"rural"
"74",53119,1195,88,1107,7.36401673640167,2040,87553,2818,2790,"rural"
"75",53120,5448,273,5175,5.01101321585903,3926,66815,4200,5479,"urban"
"76",53121,14587,1866,12721,12.7922122437787,7407,65065,6561,12484,"urban"
"77",53122,4537,491,4046,10.822129160238,2307,113750,0,5985,"urban"
"78",53125,1209,189,1020,15.6327543424318,852,78971,554,1341,"urban"
"79",53126,1845,101,1744,5.47425474254743,2701,77393,4902,1529,"rural"
"80",53128,6713,488,6225,7.26947713391926,3117,56057,1360,7587,"urban"
"81",53129,9787,775,9012,7.91866762031266,5939,64622,0,13973,"urban"
"82",53130,6272,484,5788,7.71683673469388,3182,71393,0,7755,"urban"
"83",53132,18485,1152,17333,6.2320800649175,13358,76548,1529,33334,"urban"
"84",53137,898,110,788,12.2494432071269,621,75893,1702,0,"rural"
"85",53139,373,12,361,3.2171581769437,1069,78831,1736,1066,"rural"
"86",53140,1648,58,1590,3.51941747572816,11567,38486,264,29753,"urban"
"87",53142,699,31,668,4.43490701001431,12036,66607,679,31696,"urban"
"88",53144,515,18,497,3.49514563106796,9778,55414,2875,24381,"urban"
"89",53146,5709,374,5335,6.55105973025048,3095,83586,2145,5313,"urban"
"90",53147,12706,1349,11357,10.617031323784,6953,60943,4337,12120,"urban"
"91",53149,7216,314,6902,4.35144124168514,7428,86899,4987,14070,"urban"
"92",53150,19192,1055,18137,5.49708211754898,9411,85744,1825,23025,"urban"
"93",53151,25937,2008,23929,7.74183598719975,13657,76772,0,31987,"urban"
"94",53153,840,54,786,6.42857142857143,912,90250,387,1941,"urban"
"95",53154,17147,926,16221,5.40036157928501,14081,70530,291,34160,"urban"
"96",53156,2365,254,2111,10.7399577167019,1189,57989,2992,0,"rural"
"97",53158,695,30,665,4.31654676258993,6476,76851,911,15006,"urban"
"98",53172,8865,494,8371,5.57247602932882,8628,51484,0,21156,"urban"
"99",53178,1182,79,1103,6.68358714043993,1157,60298,2626,0,"rural"
"100",53181,4405,222,4183,5.03972758229285,2715,65168,941,6416,"urban"
"101",53182,2031,103,1928,5.07139340226489,3321,66572,3077,6335,"urban"
"102",53183,355,21,334,5.91549295774648,1053,99095,177,2638,"urban"
"103",53184,3169,504,2665,15.9040706847586,1663,51377,1229,3042,"urban"
"104",53185,8258,401,7857,4.85589731169775,7053,86729,3473,15078,"urban"
"105",53186,22168,1488,20680,6.71237820281487,13821,57423,0,33592,"urban"
"106",53188,16599,936,15663,5.63889390927164,14444,66359,1347,33848,"urban"
"107",53189,13683,597,13086,4.3630782723087,9728,87062,5309,20919,"urban"
"108",53190,16677,2539,14138,15.2245607723212,6422,43339,4973,14227,"urban"
"109",53191,2308,292,2016,12.6516464471404,1194,63190,241,2601,"urban"
"110",53202,23794,1396,22398,5.86702530049592,15338,52441,0,23386,"urban"
"111",53203,791,83,708,10.4930467762326,865,66161,0,938,"urban"
"112",53204,9726,722,9004,7.42340119267942,13047,28218,0,42355,"urban"
"113",53205,6534,809,5725,12.3813896541169,3435,23125,0,10050,"urban"
"114",53206,17476,2152,15324,12.314030670634,8239,22877,0,28210,"urban"
"115",53207,24810,1848,22962,7.44860943168077,16525,58646,0,35149,"urban"
"116",53208,21984,2382,19602,10.8351528384279,12304,31592,0,31133,"urban"
"117",53209,32465,3999,28466,12.317880794702,18339,33395,0,46917,"urban"
"118",53210,17995,2219,15776,12.3312031119755,9703,34516,0,28126,"urban"
"119",53211,21504,1780,19724,8.27752976190476,14322,60195,0,35406,"urban"
"120",53212,18359,2113,16246,11.5093414674002,13146,33597,0,30416,"urban"
"121",53213,20775,2432,18343,11.7063778580024,11519,73308,0,26020,"urban"
"122",53214,27431,3002,24429,10.9438226823667,15823,44343,0,34725,"urban"
"123",53215,17656,1203,16453,6.81354780244676,19329,35803,0,60953,"urban"
"124",53216,24066,2943,21123,12.228870605834,13196,34977,0,32264,"urban"
"125",53217,22033,1972,20061,8.95021104706576,11668,100262,0,29192,"urban"
"126",53218,27870,3534,24336,12.6803013993541,14029,37692,0,40625,"urban"
"127",53219,23289,2071,21218,8.89261024518013,14963,52468,0,33880,"urban"
"128",53220,18517,1381,17136,7.45801155694767,11557,48523,0,26303,"urban"
"129",53221,25620,1625,23995,6.34270101483216,15883,50645,0,37701,"urban"
"130",53222,19753,2549,17204,12.9043689566142,11372,52811,0,25165,"urban"
"131",53223,22400,2727,19673,12.1741071428571,12623,45973,0,29230,"urban"
"132",53224,14737,2429,12308,16.4823234036778,7743,46766,0,21284,"urban"
"133",53225,18365,2772,15593,15.0939286686632,9706,42665,0,25706,"urban"
"134",53226,15103,1959,13144,12.970932927233,8271,71121,0,18370,"urban"
"135",53227,18754,1847,16907,9.84856563933027,10976,48613,0,23357,"urban"
"136",53228,11819,1030,10789,8.71478128437262,6354,61839,0,14369,"urban"
"137",53233,3235,325,2910,10.0463678516229,4497,14920,0,16453,"urban"
"138",53235,6752,410,6342,6.07227488151659,4537,41719,0,9270,"urban"
"139",53402,8348,398,7950,4.76760900814566,13257,58134,1549,31625,"urban"
"140",53403,2912,140,2772,4.80769230769231,10231,43411,138,27294,"urban"
"141",53405,604,17,587,2.81456953642384,9815,52978,0,25193,"urban"
"142",53406,4529,188,4341,4.15102671671451,11050,64478,789,25056,"urban"
"143",53502,1923,808,1115,42.0176807072283,1003,51701,2421,0,"rural"
"144",53503,1323,308,1015,23.2804232804233,811,55655,1947,0,"rural"
"145",53504,1537,539,998,35.0683148991542,818,51500,2084,0,"rural"
"146",53505,181,56,125,30.939226519337,169,62321,354,0,"rural"
"147",53506,726,140,586,19.2837465564738,437,42396,1125,0,"rural"
"148",53507,1659,528,1131,31.8264014466546,858,81406,2196,0,"rural"
"149",53508,4029,1412,2617,35.0459171010176,2068,82778,5262,0,"rural"
"150",53510,519,59,460,11.3680154142582,591,60302,1482,0,"rural"
"151",53511,36704,5172,31532,14.0911072362685,18895,43055,5154,43775,"urban"
"152",53515,1805,527,1278,29.196675900277,955,67454,999,1269,"urban"
"153",53516,1726,669,1057,38.7601390498262,927,66098,2152,0,"rural"
"154",53517,1327,443,884,33.3835719668425,704,76447,1752,0,"rural"
"155",53518,856,171,685,19.9766355140187,599,47981,1330,0,"rural"
"156",53520,5236,2253,2983,43.0290297937357,2625,57227,3304,3506,"urban"
"157",53521,2786,979,1807,35.1399856424982,1464,85305,2232,1424,"rural"
"158",53522,802,372,430,46.3840399002494,434,55952,1085,0,"rural"
"159",53523,3843,1014,2829,26.3856362217018,2033,78705,2372,2577,"urban"
"160",53525,3022,503,2519,16.6446062210457,1485,65718,4052,0,"rural"
"161",53526,199,54,145,27.1356783919598,253,52589,565,0,"rural"
"162",53527,7798,2189,5609,28.0713003334188,3795,92882,2976,6987,"urban"
"163",53528,4365,1407,2958,32.233676975945,2335,86301,2159,3575,"urban"
"164",53529,1772,462,1310,26.0722347629797,801,80625,2031,0,"rural"
"165",53530,3471,659,2812,18.9858830308269,1820,54375,4566,0,"rural"
"166",53531,3529,1054,2475,29.8668177954095,1679,79421,4338,0,"rural"
"167",53532,10580,3538,7042,33.4404536862004,5490,78401,2811,10795,"urban"
"168",53533,5628,1350,4278,23.9872068230277,2959,62128,2520,4756,"urban"
